id,game_gamer_id,bulls,cows,sequence
261,22,1,2,6902
262,22,2,0,4607
263,22,2,1,2609
264,22,2,0,8603
265,22,2,1,1608
266,22,2,0,5604
267,22,2,0,2603
268,22,2,0,5607
269,22,2,1,1602
270,22,2,0,5604
271,22,2,0,7602
272,22,2,0,4603
273,22,3,0,9604
274,22,3,0,9607
275,22,3,0,9604
276,22,3,0,9602
277,22,4,0,9601
278,23,1,1,4902
279,23,1,1,7406
280,23,1,0,5204
281,23,2,0,9708
282,23,2,0,9405
283,23,2,0,9302
284,23,2,0,9403
285,23,2,1,9104
286,23,2,0,9308
287,23,2,1,9206
288,23,2,0,9807
289,23,2,0,9205
290,23,2,0,9807
291,23,2,0,9408
292,23,3,0,9602
293,23,3,0,9604
294,23,3,0,9605
295,23,3,0,9604
296,23,3,0,9602
297,23,3,0,9605
298,24,1,1,1507
299,24,1,0,8403
300,24,1,1,1208
301,24,1,1,4103
302,24,2,0,5801
303,24,3,0,3601
304,24,3,0,5601
305,24,3,0,7601
306,24,3,0,4601
307,24,4,0,9601
308,25,0,1,3514
309,25,1,1,2698
310,25,1,0,4625
311,25,2,0,3681
312,25,2,0,4671
313,25,2,0,2631
314,25,3,0,4601
315,25,3,0,3601
316,25,3,0,7601
317,25,3,0,3601
318,25,3,0,8601
319,25,3,0,3601
320,25,3,0,8601
321,25,3,0,7601
322,25,3,0,3601
323,25,3,0,4601
324,25,3,0,3601
325,25,3,0,5601
326,25,3,0,3601
327,25,3,0,7601
